Row;Plant no;Model;TYPE
1;KAD1563;EH1600;SERVICE TRUCK
2;KFH2040;CLARK C70;WHEEL LOADER
3;KFH4717;HM300-2;WATER TANKER
4;KWT2553;WD600-3;FORKLIFT
5;KTH0064;730E-6;CABLE REELER
6;PBC6761;CAT16M;TRACK DOZER
7;KAD4059;EH3500;BOBCAT
8;KWL1100;D475A-5EO;WHEEL DOZER
9;KDT2515;HM400-3R;TLB
10;PBC8697;D375A-5;ELECTRIC DUMPER
11;KLB0089;730E-6;WHEEL DOZER
12;KLB6750;UTILEV UT25P;WATER TANKER
13;WT4451;VOLVO;WHEEL DOZER
14;KMG5700;BOBCAT;TLB
15;KWT9620;CAT16H;SERVICE TRUCK
16;OFL9573;CAT16M;FORKLIFT
17;KMG5743;WB93-5EO;TLB
18;OHT2704;UTILEV UT25P;WHEEL DOZER
19;OBEX7239;HM300-2;TLB
20;OFH2006;CAT16M;DUMPER
21;OHT6089;HD785-5;PUMP TRUCK
22;OFH7803;EH1600;BOBCAT
23;KMG5993;D375A-5;DUMP TRUCK ELEC
24;KDT3034;VOLVO;TLB
25;KWD3294;WA500-3;PUMP TRUCK
26;KWD5256;TCM;WATER TANKER
27;KTD5557;730E-6;CABLE REELER
28;KDT8580;D375A-6;FORKLIFT
29;KMG1539;CLARK C70;EXCAVATOR HAMMER
30;OHT8635;730E-6;BOBCAT
31;WT0371;TCM;GRADER
32;KTH1659;D375A-6;WHEEL DOZER
33;PBC8039;730E-6;CABLE REELER
34;OFL2434;HM300-2;SERVICE TRUCK
35;KFH7381;BOBCAT;WHEEL LOADER
36;KAD9142;HM300-2;TLB
37;KTD8288;WA500-3;WATER TANKER
38;PBC4660;WB93-5EO;WHEEL LOADER
39;PBC1806;D375A-5;EXCAVATOR HAMMER
40;KTH1139;UTILEV UT25P;TLB
41;KLB3583;EH1600;TLB
42;KDT5187;D375A-6;FORKLIFT
43;KTH9582;CAT16M;WHEEL LOADER
44;WT8269;HM300-1;TRACK DOZER
45;KFH3631;D375A-5;TYRE HANDLER
46;KWD5905;EH3500;DIESEL BOWZER
47;KWT7881;HD785-7;TLB
48;KWL8341;HM300-2;FORKLIFT
49;OBEX9157;TCM;TRACK DOZER
50;KTD6307;HD785-7;WATER TANKER
51;KWT7409;WD600-3;WHEEL DOZER
52;KWL6453;WA500-3;TLB
53;KTD0883;HD785-5;TYRE HANDLER
54;KLB5636;HM300-2;ELECTRIC DUMPER
55;KDT8499;WB93-5EO;GRADER
56;WT5686;WB93-5EO;WATER TANKER
57;OBEX3833;EH1600;TLB
58;KMG6831;EH3500;FORKLIFT
59;WT5155;CAT16H;BOBCAT
60;OFH3963;D475A-5EO;TLB
61;KAD4582;WA500-3;EXCAVATOR HAMMER
62;ODT2962;WD600-3;DUMP TRUCK ELEC
63;KWT3889;WA800-3EO;TRACK DOZER
64;PBC4483;HM300-1;CABLE REELER
65;WT8126;TCM;BOBCAT
66;PBC3482;WD600-3;BOBCAT
67;KWL3424;CAT16H;GRADER
68;KFH1997;D375A-6;WATER TANKER
69;KAD9721;HM300-2;TRACK DOZER
70;KLB9870;HM300-1;SERVICE TRUCK
71;KAD1482;CLARK C70;DUMPER
72;ODT6875;EH1600;WATER TANKER
73;ODT8954;CAT16H;GRADER
74;KTK8418;EH3500;WHEEL LOADER
75;PBC4101;WA800-3EO;PUMP TRUCK
76;KTH5590;HD785-5;DUMP TRUCK ELEC
77;KTH3609;CAT16M;WHEEL DOZER
78;KMG0281;730E-6;CABLE REELER
79;KTK2906;WB93-5EO;WATER TANKER
80;KAD4195;BOBCAT;PUMP TRUCK
81;OFH8641;WA500-3;CABLE REELER
82;ODT2075;HM400-3R;BOBCAT
83;PBC0825;D375A-6;SERVICE TRUCK
84;OBEX0910;BOBCAT;WATER TANKER
85;KLB5494;D375A-5;WHEEL DOZER
86;KDT9741;WA800-3EO;GRADER
87;OBEX1441;TCM;TRACK DOZER
88;OHT6542;UTILEV UT25P;FORKLIFT
89;OBEX4764;D375A-5;BOBCAT
90;KWT1256;TCM;TYRE HANDLER
91;KWD8437;BOBCAT;WHEEL LOADER
92;KWD9438;WB93R-5;ELECTRIC DUMPER
93;WT9909;730E-6;CABLE REELER
94;KWD9584;TCM;DUMPER
95;KTH2424;730E-6;DIESEL BOWZER
96;KDT5994;CAT16M;DUMP TRUCK ELEC
97;KLB3454;D375A-6;DIESEL BOWZER
98;ODT9772;CAT16M;TYRE HANDLER
99;PBC4637;D375A-6;EXCAVATOR HAMMER
